date,price
datetime,float
T,
2000-06-07,36.75
1992-09-25,36.75
1991-12-04,36.75
1991-09-11,36.75
1991-09-10,36.75
1990-10-05,36.75
1990-10-03,36.75
1990-09-21,36.75
1985-04-16,36.75
1985-02-19,36.75
1984-10-26,36.75
1984-02-21,36.75
1978-06-27,36.75008
1978-05-04,36.75008
1978-05-01,36.75008
2001-06-27,36.799999
2000-05-18,36.8125
2000-02-18,36.8125
2000-06-06,36.875
1992-09-16,36.875
1991-11-20,36.875
1990-10-04,36.875
1990-08-06,36.875
1985-02-07,36.875
1984-07-31,36.875
2000-05-02,36.9375
2001-06-20,37
2000-06-27,37
1991-12-24,37
1991-11-21,37
1991-11-19,37
1991-09-12,37
1991-09-05,37
1991-01-22,37
1991-01-18,37
1990-09-18,37
1985-05-01,37
1985-04-17,37
1985-02-28,37
1985-02-15,37
1985-02-14,37
1984-02-09,37
2001-06-19,37.040001
2000-05-04,37.0625
2009-03-10,37.09
2000-05-01,37.125
2000-02-11,37.125
1992-10-06,37.125
1991-05-20,37.125
1991-05-17,37.125
1991-05-16,37.125
1990-10-01,37.125
1990-08-07,37.125
1985-04-30,37.125
1985-04-23,37.125
1985-04-19,37.125
1985-02-25,37.125
1984-10-29,37.125
1984-02-22,37.125
1984-02-16,37.125
1984-02-08,37.125
1978-06-28,37.125118
1978-06-26,37.125118
1978-05-25,37.125118
1978-05-05,37.125118
1978-05-02,37.125118
2000-06-14,37.1875
2000-12-20,37.25
2000-04-24,37.25
2000-04-14,37.25
2000-03-22,37.25
1992-10-07,37.25
1991-11-18,37.25
1991-10-11,37.25
1990-10-17,37.25
1990-10-02,37.25
1990-08-08,37.25
1985-02-08,37.25
2001-10-09,37.27
1991-10-25,37.375
1991-09-09,37.375
1991-05-21,37.375
1991-05-15,37.375
1990-10-10,37.375
1990-09-14,37.375
1990-08-24,37.375
1985-04-18,37.375
2000-06-05,37.4375
2001-06-14,37.439999
2001-06-22,37.48
2001-04-06,37.490002
2000-04-18,37.5
1992-01-03,37.5
1990-10-16,37.5
1990-09-17,37.5
1990-08-15,37.5
1985-02-22,37.5
1985-02-21,37.5
1984-11-07,37.5
1984-02-03,37.5
1979-10-04,37.5
1978-05-23,37.50016
1978-05-08,37.50016
2001-06-13,37.52
2000-12-18,37.52
2001-06-18,37.549999
2009-03-11,37.560001
1979-11-09,37.624962
1992-08-26,37.625
1991-10-14,37.625
1991-09-06,37.625
1991-01-21,37.625
1990-09-13,37.625
1990-09-10,37.625
1988-01-21,37.625
1985-04-29,37.625
1985-02-27,37.625
1985-02-13,37.625
2000-12-21,37.639999
2000-04-28,37.6875
2000-12-19,37.75
1992-10-09,37.75
1991-12-27,37.75
1991-10-10,37.75
1990-10-11,37.75
1990-10-08,37.75
1988-01-28,37.75
1984-11-09,37.75
1984-11-08,37.75
1984-09-21,37.75
1984-02-29,37.75
1984-02-07,37.75
1979-10-01,37.75008
1978-05-26,37.75008
1978-05-09,37.75008
2000-04-27,37.875
1991-10-24,37.875
1991-05-06,37.875
1990-09-12,37.875
1988-01-20,37.875
1987-12-11,37.875
1985-05-02,37.875
1985-04-24,37.875
1984-03-09,37.875
1984-02-23,37.875
2001-10-03,37.900002
2001-06-15,37.959999
2001-10-04,37.970001
2009-03-13,38
2000-06-30,38
1999-09-29,38
1999-09-21,38
1992-08-25,38
1991-12-26,38
1991-05-23,38
1991-05-07,38
1990-09-11,38
1990-08-14,38
